elements	col_1	col_2	col_3	col_4	col_5	col_6	col_7	col_8	col_9	col_10	col_11	col_12	col_13	col_14	col_15	col_16	col_17	col_18	col_19	col_20
elem_74	1.44247057	0.968413096	0.901007176	0.958660346	0.95556225	1.39437704	0.293223598	0.580552818	0.051690747	0.283798544	0.46964878	0.278495656	0	0.331616124	0.272990779	0.190136402	0.050162332	0.274549045	2.115678068	1.26603924
elem_75	0	0.088037554	0	0	0.095556225	0	0.351868318	0.541849297	0.103381493	0.056759709	0	0	0.336016195	0.248712093	0.491383402	0.237670503	0	2.699732278	0	0.21100654
elem_76	0.043711229	0	0	0.11278357	0	0.750818406	0	0	0.258453734	0	0.730564769	0	0.816039331	1.11920442	0.109196312	0	0	0	2.221461971	0
elem_77	0.655668441	0.352150217	1.051175038	0.733093206	0.907784137	0.375409203	0	0.232221127	0.15507224	0	0	0.139247828	0.096004627	0.248712093	0.054598156	0.237670503	0.050162332	0	1.110730986	1.424294145
elem_78	0.262267376	1.276544536	0	0.056391785	1.051118475	0.214519545	5.571248371	18.07454441	3.411589284	11.29518206	12.00213549	14.62102196	11.13653675	17.11968242	12.83056661	10.74270674	18.45973821	18.94388412	1.322298792	0.21100654
elem_79	0.69937967	2.773182957	1.351510763	0.620309636	2.580018075	3.110533396	7.917037159	7.740704244	17.72992613	11.86277915	11.7412195	6.869559524	6.528314648	2.735833026	5.842002669	6.226967181	5.668343525	20.45390387	6.770169817	2.637581751
elem_80	1.049069506	0.220093885	0.700783359	0.845876776	0.860006025	1.555266698	0.05864472	0.232221127	0	0	0.156549593	0.324911599	0.144006941	0.124356047	0.327588935	0.142602302	0.451460989	0.366065394	2.380137826	1.26603924
elem_81	0.830513359	0.264112663	0.250279771	0.33835071	0.334446787	0.536298861	0.117289439	0.270924649	0	0.056759709	0.052183198	0.139247828	0.384018509	0.124356047	0.054598156	0.190136402	0.150486996	0.228790871	0.740487324	1.002281065
elem_82	0.7430909	0.616262879	0.400447634	0.394742496	0.286668675	0.589928748	2.404433508	2.051286625	0.930433441	1.759550974	1.774228725	2.274381194	0.912043958	1.285012482	0.873570492	1.616159421	1.705519291	4.804608291	0.370243662	0.52751635
elem_83	0.262267376	0.572244102	0.250279771	0.22556714	0.238890562	0.053629886	0.469157758	1.664251412	0.31014448	0.454077671	0.678381571	0.232079714	0.720034704	0.704684264	0.709776025	0.903147912	1.705519291	3.843686633	0.211567807	0.580267985
